Date,Open,High,Low,Close,Volume,Adj_Close,Change
2013/6/6,96.39,96.83,95.16,96.68,5817300,95.91,0.26
2013/6/5,98.13,98.16,96.12,96.42,5394800,95.65,-1.95
2013/6/4,98.01,98.68,97.64,98.37,4902300,97.58,0.41
2013/6/3,96.77,97.99,96.57,97.96,4224000,97.17,1.39
2013/5/31,96.89,97.71,96.56,96.57,5443400,95.8,-0.5
2013/5/30,98.42,98.59,96.79,97.07,8028900,96.29,-1.98
2013/5/29,100.64,100.64,98.28,99.05,8770700,97.49,-2.19
2013/5/28,101.06,101.94,100.88,101.24,14083800,99.65,0.95
2013/5/24,100.66,100.66,99.73,100.29,13161000,98.71,-0.74
2013/5/23,101.14,101.51,100.35,101.03,13743100,99.44,-0.71
2013/5/22,102.18,102.4,101.41,101.74,4648200,100.14,-0.4
2013/5/21,101.65,102.62,101.42,102.14,4078600,100.53,0.6
2013/5/20,101.24,101.94,101.24,101.54,2233100,99.94,0
2013/5/17,101.1,101.9,100.8,101.54,4015300,99.94,0.42
2013/5/16,101.58,101.78,100.84,101.12,4251800,99.53,-0.83
2013/5/15,101.3,102.03,101.3,101.95,3402600,100.35,0.75
2013/5/14,100.48,101.49,100.44,101.2,3810800,99.61,0.82
2013/5/13,100.02,100.7,99.8,100.38,3154100,98.8,0.18
2013/5/10,99.95,100.2,99.4,100.2,5036900,98.62,0.51
2013/5/9,100.78,101.23,99.46,99.69,10628500,98.12,-1.26
2013/5/8,102.28,102.28,100.76,100.95,5228800,99.36,-1.34
2013/5/7,102.09,102.52,101.79,102.29,4304200,100.68,0.22
2013/5/6,102.76,102.8,102.05,102.07,3314200,100.46,-0.85
2013/5/3,102.92,103.34,102.55,102.92,4109400,101.3,0.86
2013/5/2,101.46,102.34,101.12,102.06,3821100,100.46,0.68
2013/5/1,101.98,102.44,101.33,101.38,2720100,99.79,-0.76
2013/4/30,102.27,102.36,101.56,102.14,4205200,100.53,-0.04
2013/4/29,101.56,102.52,101.15,102.18,3417700,100.57,1.29
2013/4/26,100.83,100.99,100.4,100.89,3113600,99.3,-0.05
2013/4/25,101.27,101.63,100.85,100.94,3529400,99.35,-0.08
2013/4/24,100.09,101.24,100.09,101.02,4593000,99.43,1.26
2013/4/23,99.27,100.24,99.21,99.76,5753500,98.19,0.44
2013/4/22,99.35,99.66,98.38,99.32,5620500,97.76,-0.6
2013/4/19,100.58,101.44,99.45,99.92,8227700,98.35,-1.99
2013/4/18,102.08,102.23,100.1,101.91,5696900,100.31,-0.63
2013/4/17,102.56,103.11,102,102.54,4191500,100.93,-0.5
2013/4/16,102.4,103.05,102.02,103.04,3199300,101.42,0.89
2013/4/15,103.14,103.44,102.13,102.15,5643600,100.54,-1.44
2013/4/12,101.5,103.7,101.5,103.59,5714000,101.96,1.6
